ukprn,uni,year,female,male,unknown,total,change,lat,lon
10008010,Stranmillis University College,2020,970,240,0,1210,-325,54.571732,-5.9364581
10008010,Stranmillis University College,2021,"1,050",260,0,1310,100,54.571732,-5.9364581
10008010,Stranmillis University College,2022,"1,070",255,0,1325,15,54.571732,-5.9364581
10008010,Stranmillis University College,2023,"1,115",265,15,1390,65,54.571732,-5.9364581
10007855,Swansea University,2015,"7,620","8,405",0,16020,,51.609627,-3.9806161
10007855,Swansea University,2016,"8,230","9,215",0,17445,1425,51.609627,-3.9806161
10007855,Swansea University,2017,"8,905","10,260",0,19160,1715,51.609627,-3.9806161
10007855,Swansea University,2018,"9,465","10,950",0,20415,1255,51.609627,-3.9806161
10007855,Swansea University,2019,"9,750","10,870",0,20620,205,51.609627,-3.9806161
10007855,Swansea University,2020,"9,760","10,615",0,20375,-245,51.609627,-3.9806161
10007855,Swansea University,2021,"10,390","11,065",5,21465,1090,51.609627,-3.9806161
10007855,Swansea University,2022,"10,900","11,310",80,22290,825,51.609627,-3.9806161
10007855,Swansea University,2023,"10,685","10,730",100,21510,-780,51.609627,-3.9806161
10007161,Teesside University,2015,"9,795","8,130",0,17920,,54.572075,-1.234694
10007161,Teesside University,2016,"9,895","8,680",0,18575,655,54.572075,-1.234694
10007161,Teesside University,2017,"9,940","8,610",5,18555,-20,54.572075,-1.234694
10007161,Teesside University,2018,"10,110","8,255",10,18375,-180,54.572075,-1.234694
10007161,Teesside University,2019,"10,375","8,280",15,18665,290,54.572075,-1.234694
10007161,Teesside University,2020,"10,580","8,700",10,19290,625,54.572075,-1.234694
10007161,Teesside University,2021,"11,915","9,345",20,21275,1985,54.572075,-1.234694
10007161,Teesside University,2022,"12,830","9,855",15,22695,1420,54.572075,-1.234694
10007161,Teesside University,2023,"14,360","10,655",40,25055,2360,54.572075,-1.234694
10000385,The Arts University Bournemouth,2015,"2,050",905,0,2955,,50.741371,-1.8981071
10000385,The Arts University Bournemouth,2016,"2,285",950,5,3240,285,50.741371,-1.8981071
10000385,The Arts University Bournemouth,2017,"2,330",970,15,3315,75,50.741371,-1.8981071
10000385,The Arts University Bournemouth,2018,"2,430","1,045",20,3490,175,50.741371,-1.8981071
10000385,The Arts University Bournemouth,2019,"2,325","1,040",20,3385,-105,50.741371,-1.8981071
10000385,The Arts University Bournemouth,2020,"2,380","1,030",35,3445,60,50.741371,-1.8981071
10000385,The Arts University Bournemouth,2021,"2,425","1,030",65,3520,75,50.741371,-1.8981071
10000385,The Arts University Bournemouth,2022,"2,620","1,000",110,3725,205,50.741371,-1.8981071
10000385,The Arts University Bournemouth,2023,"2,735","1,000",160,3890,165,50.741371,-1.8981071
10003324,The Institute of Cancer Research,2015,180,120,0,300,,51.490829,-0.181284
10003324,The Institute of Cancer Research,2016,165,110,0,275,-25,51.490829,-0.181284
10003324,The Institute of Cancer Research,2017,170,100,0,275,0,51.490829,-0.181284
10003324,The Institute of Cancer Research,2018,175,115,0,290,15,51.490829,-0.181284
10003324,The Institute of Cancer Research,2019,165,100,0,265,-25,51.490829,-0.181284
10003324,The Institute of Cancer Research,2020,180,95,0,280,15,51.490829,-0.181284
10003324,The Institute of Cancer Research,2021,205,100,0,305,25,51.490829,-0.181284
10003324,The Institute of Cancer Research,2022,250,110,0,365,60,51.490829,-0.181284
10003324,The Institute of Cancer Research,2023,265,115,0,375,10,51.490829,-0.181284
10004180,The Manchester Metropolitan University,2015,"18,295","13,060",0,31355,,53.470917,-2.239115
10004180,The Manchester Metropolitan University,2016,"18,890","13,600",0,32485,1130,53.470917,-2.239115
10004180,The Manchester Metropolitan University,2017,"19,335","13,675",5,33010,525,53.470917,-2.239115
10004180,The Manchester Metropolitan University,2018,"19,415","13,660",5,33080,70,53.470917,-2.239115
10004180,The Manchester Metropolitan University,2019,"19,465","13,580",5,33050,-30,53.470917,-2.239115
10004180,The Manchester Metropolitan University,2020,"19,470","13,940",15,33420,370,53.470917,-2.239115
10004180,The Manchester Metropolitan University,2021,"21,115","14,810",15,35940,2520,53.470917,-2.239115
10004180,The Manchester Metropolitan University,2022,"21,765","15,185",30,36980,1040,53.470917,-2.239115
10004180,The Manchester Metropolitan University,2023,"22,960","16,070",65,39095,2115,53.470917,-2.239115
10004511,The National Film and Television School,2015,90,130,0,225,,51.604752,-0.638385
10004511,The National Film and Television School,2016,100,140,0,240,15,51.604752,-0.638385
10004511,The National Film and Television School,2017,120,155,0,275,35,51.604752,-0.638385
10004511,The National Film and Television School,2018,135,170,0,305,30,51.604752,-0.638385
10004511,The National Film and Television School,2019,285,265,0,550,245,51.604752,-0.638385
10004511,The National Film and Television School,2020,260,230,5,495,-55,51.604752,-0.638385
10004511,The National Film and Television School,2021,285,250,5,540,45,51.604752,-0.638385
10004511,The National Film and Television School,2022,280,270,5,555,15,51.604752,-0.638385
10004511,The National Film and Television School,2023,280,260,0,545,-10,51.604752,-0.638385
10004797,The Nottingham Trent University,2015,"14,755","12,120",15,26890,,52.956436,-1.152077
10004797,The Nottingham Trent University,2016,"15,605","12,300",20,27920,1030,52.956436,-1.152077
10004797,The Nottingham Trent University,2017,"16,420","12,925",30,29370,1450,52.956436,-1.152077
10004797,The Nottingham Trent University,2018,"17,335","13,515",40,30890,1520,52.956436,-1.152077
10004797,The Nottingham Trent University,2019,"18,670","14,550",40,33255,2365,52.956436,-1.152077
10004797,The Nottingham Trent University,2020,"19,745","16,010",30,35785,2530,52.956436,-1.152077
10004797,The Nottingham Trent University,2021,"21,130","17,835",30,38995,3210,52.956436,-1.152077
10004797,The Nottingham Trent University,2022,"22,425","18,990",40,41455,2460,52.956436,-1.152077
10004797,The Nottingham Trent University,2023,"22,110","18,550",95,40755,-700,52.956436,-1.152077
10007773,The Open University,2015,"78,575","53,785",0,132360,,52.024914,-0.70974702
10007773,The Open University,2016,"75,465","51,150",0,126620,-5740,52.024914,-0.70974702
10007773,The Open University,2017,"73,270","48,350",0,121620,-5000,52.024914,-0.70974702
10007773,The Open University,2018,"71,700","46,235",5,117935,-3685,52.024914,-0.70974702
10007773,The Open University,2019,"75,200","47,155",0,122360,4425,52.024914,-0.70974702
10007773,The Open University,2020,"80,520","48,895",5,129420,7060,52.024914,-0.70974702
10007773,The Open University,2021,"95,635","56,590",20,152245,22825,52.024914,-0.70974702
10007773,The Open University,2022,"96,125","55,710",5,151840,-405,52.024914,-0.70974702
10007773,The Open University,2023,"89,805","50,340",75,140215,-11625,52.024914,-0.70974702
10007816,The Royal Central School of Speech and Drama,2015,660,330,0,995,,51.544327,-0.17420501
10007816,The Royal Central School of Speech and Drama,2016,690,350,0,1045,50,51.544327,-0.17420501
10007816,The Royal Central School of Speech and Drama,2017,740,360,0,1100,55,51.544327,-0.17420501
10007816,The Royal Central School of Speech and Drama,2018,740,345,5,1090,-10,51.544327,-0.17420501
10007816,The Royal Central School of Speech and Drama,2019,715,335,5,1055,-35,51.544327,-0.17420501
10007816,The Royal Central School of Speech and Drama,2020,755,335,5,1100,45,51.544327,-0.17420501
10007816,The Royal Central School of Speech and Drama,2021,735,335,15,1085,-15,51.544327,-0.17420501
10007816,The Royal Central School of Speech and Drama,2022,750,320,15,1085,0,51.544327,-0.17420501
10007816,The Royal Central School of Speech and Drama,2023,715,300,0,1010,-75,51.544327,-0.17420501
10007779,The Royal Veterinary College,2015,"1,600",545,0,2145,,51.53685,-0.133524
10007779,The Royal Veterinary College,2016,"1,750",535,0,2290,145,51.53685,-0.133524
10007779,The Royal Veterinary College,2017,"1,830",540,0,2375,85,51.53685,-0.133524
10007779,The Royal Veterinary College,2018,"1,995",550,0,2545,170,51.53685,-0.133524
10007779,The Royal Veterinary College,2019,"1,985",535,0,2525,-20,51.53685,-0.133524
10007779,The Royal Veterinary College,2020,"1,995",510,5,2510,-15,51.53685,-0.133524
10007779,The Royal Veterinary College,2021,"2,040",525,5,2575,65,51.53685,-0.133524
10007779,The Royal Veterinary College,2022,"2,080",510,0,2590,15,51.53685,-0.133524
10007779,The Royal Veterinary College,2023,"2,075",470,0,2550,-40,51.53685,-0.133524
10007783,The University of Aberdeen,2015,"7,830","6,210",0,14035,,57.16502,-2.099122
10007783,The University of Aberdeen,2016,"7,905","6,100",0,14000,-35,57.16502,-2.099122
10007783,The University of Aberdeen,2017,"8,065","6,080",0,14150,150,57.16502,-2.099122
10007783,The University of Aberdeen,2018,"8,270","6,100",0,14370,220,57.16502,-2.099122
10007783,The University of Aberdeen,2019,"8,640","6,135",0,14775,405,57.16502,-2.099122
10007783,The University of Aberdeen,2020,"8,855","6,315",20,15185,410,57.16502,-2.099122
10007783,The University of Aberdeen,2021,"9,300","6,750",30,16080,895,57.16502,-2.099122
10007783,The University of Aberdeen,2022,"9,505","7,025",35,16565,485,57.16502,-2.099122
10007783,The University of Aberdeen,2023,"8,950","6,470",35,15455,-1110,57.16502,-2.099122
10007850,The University of Bath,2015,"7,120","8,450",0,15570,,51.38044,-2.330673
10007850,The University of Bath,2016,"7,510","8,645",0,16155,585,51.38044,-2.330673
10007850,The University of Bath,2017,"7,890","9,015",0,16910,755,51.38044,-2.330673
10007850,The University of Bath,2018,"8,260","9,285",10,17555,645,51.38044,-2.330673
10007850,The University of Bath,2019,"8,540","9,515",10,18065,510,51.38044,-2.330673
10007850,The University of Bath,2020,"8,615","9,930",15,18560,495,51.38044,-2.330673
10007850,The University of Bath,2021,"8,460","10,075",25,18555,-5,51.38044,-2.330673
10007850,The University of Bath,2022,"8,500","10,340",50,18890,335,51.38044,-2.330673
10007850,The University of Bath,2023,"8,785","10,450",5,19240,350,51.38044,-2.330673
10006840,The University of Birmingham,2015,"18,840","15,315",0,34160,,52.451408,-1.930047
10006840,The University of Birmingham,2016,"18,900","14,930",0,33830,-330,52.451408,-1.930047
10006840,The University of Birmingham,2017,"19,675","15,155",5,34835,1005,52.451408,-1.930047
10006840,The University of Birmingham,2018,"19,930","14,985",5,34915,80,52.451408,-1.930047
10006840,The University of Birmingham,2019,"20,435","15,005",10,35445,530,52.451408,-1.930047
10006840,The University of Birmingham,2020,"20,635","15,100",25,35760,315,52.451408,-1.930047
10006840,The University of Birmingham,2021,"21,860","15,865",25,37750,1990,52.451408,-1.930047
10006840,The University of Birmingham,2022,"21,785","16,165",45,37990,240,52.451408,-1.930047
10006840,The University of Birmingham,2023,"21,840","16,780",90,38710,720,52.451408,-1.930047
10006841,The University of Bolton,2015,"3,495","2,885",5,6385,,53.573509,-2.4362381
10006841,The University of Bolton,2016,"3,520","2,800",5,6320,-65,53.573509,-2.4362381
10006841,The University of Bolton,2017,"3,630","2,790",5,6425,105,53.573509,-2.4362381
10006841,The University of Bolton,2018,"3,845","2,690",5,6540,115,53.573509,-2.4362381
10006841,The University of Bolton,2019,"4,190","2,755",5,6945,405,53.573509,-2.4362381
10006841,The University of Bolton,2020,"4,945","3,225",5,8175,1230,53.573509,-2.4362381
10006841,The University of Bolton,2021,"6,385","4,180",10,10575,2400,53.573509,-2.4362381
10006841,The University of Bolton,2022,"6,820","4,165",10,10995,420,53.573509,-2.4362381
10006841,The University of Bolton,2023,"6,870","3,965",10,10845,-150,53.573509,-2.4362381
10007785,The University of Bradford,2015,"6,300","5,220",0,11520,,53.791241,-1.7662309
10007785,The University of Bradford,2016,"6,210","5,000",0,11215,-305,53.791241,-1.7662309
10007785,The University of Bradford,2017,"6,065","4,895",0,10960,-255,53.791241,-1.7662309
10007785,The University of Bradford,2018,"5,760","4,355",0,10115,-845,53.791241,-1.7662309
10007785,The University of Bradford,2019,"5,475","4,185",0,9665,-450,53.791241,-1.7662309
10007785,The University of Bradford,2020,"5,545","4,225",0,9770,105,53.791241,-1.7662309
10007785,The University of Bradford,2021,"5,940","4,405",0,10345,575,53.791241,-1.7662309
10007785,The University of Bradford,2022,"6,725","5,160",0,11885,1540,53.791241,-1.7662309
10007785,The University of Bradford,2023,"7,300","5,625",0,12925,1040,53.791241,-1.7662309
10000886,The University of Brighton,2015,"12,225","8,455",0,20685,,50.842453,-0.11917
10000886,The University of Brighton,2016,"12,615","8,515",0,21135,450,50.842453,-0.11917
10000886,The University of Brighton,2017,"13,070","8,575",5,21655,520,50.842453,-0.11917
10000886,The University of Brighton,2018,"13,150","8,385",20,21555,-100,50.842453,-0.11917
10000886,The University of Brighton,2019,"12,615","7,825",30,20470,-1085,50.842453,-0.11917
10000886,The University of Brighton,2020,"11,530","7,410",50,18985,-1485,50.842453,-0.11917
10000886,The University of Brighton,2021,"10,820","6,870",90,17785,-1200,50.842453,-0.11917
10000886,The University of Brighton,2022,"11,015","6,635",185,17835,50,50.842453,-0.11917
10000886,The University of Brighton,2023,"11,005","6,580",290,17870,35,50.842453,-0.11917
10007786,The University of Bristol,2015,"11,475","10,070",5,21555,,51.459064,-2.603291
10007786,The University of Bristol,2016,"11,685","10,205",15,21905,350,51.459064,-2.603291
10007786,The University of Bristol,2017,"12,860","10,715",20,23590,1685,51.459064,-2.603291
10007786,The University of Bristol,2018,"13,730","11,105",15,24850,1260,51.459064,-2.603291
10007786,The University of Bristol,2019,"14,485","11,450",20,25955,1105,51.459064,-2.603291
10007786,The University of Bristol,2020,"15,155","12,190",30,27375,1420,51.459064,-2.603291
10007786,The University of Bristol,2021,"16,350","13,385",50,29785,2410,51.459064,-2.603291
10007786,The University of Bristol,2022,"17,385","14,060",40,31485,1700,51.459064,-2.603291
10007786,The University of Bristol,2023,"17,830","14,245",30,32100,615,51.459064,-2.603291
10007787,The University of Buckingham,2015,"1,035","1,210",0,2245,,51.995998,-0.99183899
10007787,The University of Buckingham,2016,"1,105","1,290",0,2400,155,51.995998,-0.99183899
10007787,The University of Buckingham,2017,"1,160","1,355",0,2520,120,51.995998,-0.99183899
10007787,The University of Buckingham,2018,"1,410","1,450",0,2860,340,51.995998,-0.99183899
10007787,The University of Buckingham,2019,"1,635","1,435",0,3070,210,51.995998,-0.99183899
10007787,The University of Buckingham,2020,"1,620","1,480",0,3100,30,51.995998,-0.99183899
10007787,The University of Buckingham,2021,"1,765","1,545",0,3310,210,51.995998,-0.99183899
10007787,The University of Buckingham,2022,"1,850","1,575",5,3430,120,51.995998,-0.99183899
10007787,The University of Buckingham,2023,"1,990","1,765",5,3760,330,51.995998,-0.99183899
10007788,The University of Cambridge,2015,"8,925","10,580",10,19515,,52.205296,0.117067
10007788,The University of Cambridge,2016,"9,025","10,630",10,19660,145,52.205296,0.117067
10007788,The University of Cambridge,2017,"9,385","10,560",10,19955,295,52.205296,0.117067
10007788,The University of Cambridge,2018,"9,640","10,860",10,20510,555,52.205296,0.117067
10007788,The University of Cambridge,2019,"9,855","11,020",15,20890,380,52.205296,0.117067
10007788,The University of Cambridge,2020,"10,165","11,155",20,21340,450,52.205296,0.117067
10007788,The University of Cambridge,2021,"10,805","11,215",130,22155,815,52.205296,0.117067
10007788,The University of Cambridge,2022,"11,230","11,165",215,22610,455,52.205296,0.117067
10007788,The University of Cambridge,2023,"11,620","11,155",200,22975,365,52.205296,0.117067
10007141,The University of Central Lancashire,2015,"14,320","11,335",0,25655,,53.761337,-2.7073841
10007141,The University of Central Lancashire,2016,"13,830","10,630",0,24460,-1195,53.761337,-2.7073841
10007141,The University of Central Lancashire,2017,"13,920","10,240",0,24160,-300,53.761337,-2.7073841
10007141,The University of Central Lancashire,2018,"13,330","9,675",0,23000,-1160,53.761337,-2.7073841
10007141,The University of Central Lancashire,2019,"13,540","9,645",0,23185,185,53.761337,-2.7073841
10007141,The University of Central Lancashire,2020,"14,245","10,470",5,24715,1530,53.761337,-2.7073841
10007141,The University of Central Lancashire,2021,"16,320","11,610",10,27945,3230,53.761337,-2.7073841
10007141,The University of Central Lancashire,2022,"16,490","11,800",35,28325,380,53.761337,-2.7073841
10007141,The University of Central Lancashire,2023,"16,490","11,375",30,27890,-435,53.761337,-2.7073841
10007137,The University of Chichester,2015,"3,360","2,085",0,5445,,50.844311,-0.77500999
10007137,The University of Chichester,2016,"3,435","2,085",0,5520,75,50.844311,-0.77500999
10007137,The University of Chichester,2017,"3,485","2,055",0,5540,20,50.844311,-0.77500999
10007137,The University of Chichester,2018,"3,455","2,065",0,5520,-20,50.844311,-0.77500999
10007137,The University of Chichester,2019,"3,435","2,035",0,5470,-50,50.844311,-0.77500999
10007137,The University of Chichester,2020,"3,415","2,125",0,5545,75,50.844311,-0.77500999
10007137,The University of Chichester,2021,"3,750","2,195",0,5945,400,50.844311,-0.77500999
10007137,The University of Chichester,2022,"3,805","2,180",0,5985,40,50.844311,-0.77500999
10007137,The University of Chichester,2023,"3,815","2,070",0,5885,-100,50.844311,-0.77500999
10007852,The University of Dundee,2015,"9,460","5,720",0,15180,,56.457344,-2.9782691
10007852,The University of Dundee,2016,"9,380","5,535",0,14910,-270,56.457344,-2.9782691
10007852,The University of Dundee,2017,"9,815","5,570",0,15390,480,56.457344,-2.9782691
10007852,The University of Dundee,2018,"9,745","5,475",0,15215,-175,56.457344,-2.9782691
10007852,The University of Dundee,2019,"10,265","5,640",5,15915,700,56.457344,-2.9782691
10007852,The University of Dundee,2020,"10,575","5,685",10,16270,355,56.457344,-2.9782691
10007852,The University of Dundee,2021,"10,460","5,755",10,16230,-40,56.457344,-2.9782691
10007852,The University of Dundee,2022,"11,760","6,315",20,18100,1870,56.457344,-2.9782691
10007852,The University of Dundee,2023,"11,335","6,005",20,17365,-735,56.457344,-2.9782691
10007789,The University of East Anglia,2015,"9,790","6,375",0,16165,,52.622368,1.2413909
10007789,The University of East Anglia,2016,"9,835","6,305",5,16145,-20,52.622368,1.2413909
10007789,The University of East Anglia,2017,"10,425","6,760",10,17195,1050,52.622368,1.2413909
10007789,The University of East Anglia,2018,"10,765","7,025",15,17805,610,52.622368,1.2413909
10007789,The University of East Anglia,2019,"10,670","7,225",25,17920,115,52.622368,1.2413909
10007789,The University of East Anglia,2020,"10,665","7,335",40,18035,115,52.622368,1.2413909
10007789,The University of East Anglia,2021,"11,020","7,885",75,18975,940,52.622368,1.2413909
10007789,The University of East Anglia,2022,"11,250","7,780",105,19130,155,52.622368,1.2413909
10007789,The University of East Anglia,2023,"10,860","7,565",120,18540,-590,52.622368,1.2413909
10007144,The University of East London,2015,"9,940","5,910",5,15855,,51.507484,0.064759001
10007144,The University of East London,2016,"8,655","4,975",0,13630,-2225,51.507484,0.064759001
10007144,The University of East London,2017,"8,350","4,870",0,13215,-415,51.507484,0.064759001
10007144,The University of East London,2018,"8,135","4,950",0,13090,-125,51.507484,0.064759001
10007144,The University of East London,2019,"8,240","5,155",5,13395,305,51.507484,0.064759001
10007144,The University of East London,2020,"8,805","6,545",10,15355,1960,51.507484,0.064759001
10007144,The University of East London,2021,"9,775","7,605",10,17395,2040,51.507484,0.064759001
10007144,The University of East London,2022,"10,210","9,325",10,19550,2155,51.507484,0.064759001
10007144,The University of East London,2023,"11,190","11,250",15,22450,2900,51.507484,0.064759001
10007790,The University of Edinburgh,2015,"17,115","11,760",5,28880,,55.947693,-3.1873469
10007790,The University of Edinburgh,2016,"18,075","12,255",20,30355,1475,55.947693,-3.1873469
10007790,The University of Edinburgh,2017,"19,060","12,815",35,31910,1555,55.947693,-3.1873469
10007790,The University of Edinburgh,2018,"19,740","13,105",40,32885,975,55.947693,-3.1873469
10007790,The University of Edinburgh,2019,"20,875","13,355",45,34275,1390,55.947693,-3.1873469
10007790,The University of Edinburgh,2020,"21,765","13,525",85,35375,1100,55.947693,-3.1873469
10007790,The University of Edinburgh,2021,"23,260","14,440",130,37830,2455,55.947693,-3.1873469
10007790,The University of Edinburgh,2022,"25,550","15,510",185,41250,3420,55.947693,-3.1873469
10007790,The University of Edinburgh,2023,"24,200","14,690",220,39110,-2140,55.947693,-3.1873469
10007791,The University of Essex,2015,"8,140","6,295",0,14435,,51.876717,0.946666
10007791,The University of Essex,2016,"7,915","5,880",0,13795,-640,51.876717,0.946666
10007791,The University of Essex,2017,"8,230","6,355",5,14585,790,51.876717,0.946666
10007791,The University of Essex,2018,"8,210","6,505",5,14725,140,51.876717,0.946666
10007791,The University of Essex,2019,"8,520","7,065",10,15600,875,51.876717,0.946666
10007791,The University of Essex,2020,"9,175","7,330",25,16530,930,51.876717,0.946666
10007791,The University of Essex,2021,"10,260","8,175",30,18465,1935,51.876717,0.946666
10007791,The University of Essex,2022,"10,130","7,945",40,18110,-355,51.876717,0.946666
10007791,The University of Essex,2023,"10,445","8,270",65,18780,670,51.876717,0.946666
10007792,The University of Exeter,2015,"11,260","9,295",0,20555,,50.735157,-3.535048
10007792,The University of Exeter,2016,"11,795","9,865",10,21670,1115,50.735157,-3.535048
10007792,The University of Exeter,2017,"12,665","10,495",20,23175,1505,50.735157,-3.535048
10007792,The University of Exeter,2018,"13,050","10,965",30,24045,870,50.735157,-3.535048
10007792,The University of Exeter,2019,"13,580","11,385",40,25010,965,50.735157,-3.535048
10007792,The University of Exeter,2020,"14,475","12,410",50,26935,1925,50.735157,-3.535048
10007792,The University of Exeter,2021,"16,230","13,960",60,30250,3315,50.735157,-3.535048
10007792,The University of Exeter,2022,"17,375","14,955",NA,32465,2215,50.735157,-3.535048
10007792,The University of Exeter,2023,"17,810","14,635",380,32825,360,50.735157,-3.535048
10007794,The University of Glasgow,2015,"15,665","11,150",0,26815,,55.87175,-4.2883601
10007794,The University of Glasgow,2016,"16,090","11,125",5,27220,405,55.87175,-4.2883601
10007794,The University of Glasgow,2017,"16,865","11,670",75,28615,1395,55.87175,-4.2883601
10007794,The University of Glasgow,2018,"17,565","11,985",NA,29725,1110,55.87175,-4.2883601
10007794,The University of Glasgow,2019,"18,060","12,265",NA,30805,1080,55.87175,-4.2883601
10007794,The University of Glasgow,2020,"19,270","12,710",NA,32465,1660,55.87175,-4.2883601
10007794,The University of Glasgow,2021,"22,145","14,695",NA,37145,4680,55.87175,-4.2883601
10007794,The University of Glasgow,2022,"25,825","16,800",NA,42980,5835,55.87175,-4.2883601
10007794,The University of Glasgow,2023,"23,770","15,675",315,39755,-3225,55.87175,-4.2883601
10007146,The University of Greenwich,2015,"11,995","9,300",0,21295,,51.484467,-0.004005
10007146,The University of Greenwich,2016,"11,825","8,820",0,20645,-650,51.484467,-0.004005
10007146,The University of Greenwich,2017,"11,635","8,280",0,19915,-730,51.484467,-0.004005
10007146,The University of Greenwich,2018,"10,950","7,725",0,18675,-1240,51.484467,-0.004005
10007146,The University of Greenwich,2019,"10,915","7,740",0,18655,-20,51.484467,-0.004005
10007146,The University of Greenwich,2020,"11,185","8,630",10,19825,1170,51.484467,-0.004005
10007146,The University of Greenwich,2021,"12,855","9,905",0,22760,2935,51.484467,-0.004005
10007146,The University of Greenwich,2022,"14,525","12,090",0,26610,3850,51.484467,-0.004005
10007146,The University of Greenwich,2023,"15,840","12,675",150,28660,2050,51.484467,-0.004005
10007148,The University of Huddersfield,2015,"11,170","8,445",0,19620,,53.643723,-1.7768641
10007148,The University of Huddersfield,2016,"11,005","8,265",0,19270,-350,53.643723,-1.7768641
10007148,The University of Huddersfield,2017,"10,235","8,045",0,18280,-990,53.643723,-1.7768641
10007148,The University of Huddersfield,2018,"10,245","7,995",0,18245,-35,53.643723,-1.7768641
10007148,The University of Huddersfield,2019,"9,840","7,450",0,17295,-950,53.643723,-1.7768641
10007148,The University of Huddersfield,2020,"9,990","7,285",30,17305,10,53.643723,-1.7768641
10007148,The University of Huddersfield,2021,"12,040","8,500",75,20610,3305,53.643723,-1.7768641
10007148,The University of Huddersfield,2022,"12,640","8,150",95,20885,275,53.643723,-1.7768641
10007148,The University of Huddersfield,2023,"12,235","8,030",60,20325,-560,53.643723,-1.7768641
10007149,The University of Hull,2015,"9,265","7,745",0,17010,,53.771778,-0.366384
10007149,The University of Hull,2016,"9,060","7,245",0,16305,-705,53.771778,-0.366384
10007149,The University of Hull,2017,"9,140","7,390",0,16530,225,53.771778,-0.366384
10007149,The University of Hull,2018,"8,560","7,030",0,15585,-945,53.771778,-0.366384
10007149,The University of Hull,2019,"9,130","6,945",20,16090,505,53.771778,-0.366384
10007149,The University of Hull,2020,"8,020","6,195",40,14255,-1835,53.771778,-0.366384
10007149,The University of Hull,2021,"8,530","6,010",70,14615,360,53.771778,-0.366384
10007149,The University of Hull,2022,"8,655","6,350",70,15075,460,53.771778,-0.366384
10007149,The University of Hull,2023,"8,710","6,585",105,15400,325,53.771778,-0.366384
10007150,The University of Kent,2015,"9,970","9,015",0,18985,,51.298504,1.0709749
10007150,The University of Kent,2016,"10,315","9,355",0,19670,685,51.298504,1.0709749
10007150,The University of Kent,2017,"10,605","9,615",0,20220,550,51.298504,1.0709749
10007150,The University of Kent,2018,"10,570","9,250",5,19825,-395,51.298504,1.0709749
10007150,The University of Kent,2019,"10,265","8,995",5,19265,-560,51.298504,1.0709749
10007150,The University of Kent,2020,"10,135","8,570",5,18710,-555,51.298504,1.0709749
10007150,The University of Kent,2021,"9,985","8,575",25,18585,-125,51.298504,1.0709749
10007150,The University of Kent,2022,"9,725","8,335",65,18120,-465,51.298504,1.0709749
10007150,The University of Kent,2023,"9,710","8,145",60,17920,-200,51.298504,1.0709749
10007768,The University of Lancaster,2015,"6,660","6,310",0,12965,,54.010418,-2.7864511
10007768,The University of Lancaster,2016,"6,695","6,420",0,13115,150,54.010418,-2.7864511
10007768,The University of Lancaster,2017,"6,930","6,685",0,13615,500,54.010418,-2.7864511
10007768,The University of Lancaster,2018,"7,190","7,015",5,14210,595,54.010418,-2.7864511
10007768,The University of Lancaster,2019,"7,295","7,155",15,14465,255,54.010418,-2.7864511
10007768,The University of Lancaster,2020,"7,950","7,680",40,15665,1200,54.010418,-2.7864511
10007768,The University of Lancaster,2021,"9,065","8,380",25,17470,1805,54.010418,-2.7864511
10007768,The University of Lancaster,2022,"9,275","8,430",70,17770,300,54.010418,-2.7864511
10007768,The University of Lancaster,2023,"8,845","8,560",760,18165,395,54.010418,-2.7864511
10007795,The University of Leeds,2015,"18,600","12,430",0,31030,,53.807957,-1.553329
10007795,The University of Leeds,2016,"19,275","12,515",0,31790,760,53.807957,-1.553329
10007795,The University of Leeds,2017,"20,275","13,025",0,33300,1510,53.807957,-1.553329
10007795,The University of Leeds,2018,"20,795","13,620",10,34420,1120,53.807957,-1.553329
10007795,The University of Leeds,2019,"22,015","14,215",25,36250,1830,53.807957,-1.553329
10007795,The University of Leeds,2020,"21,935","14,370",25,36330,80,53.807957,-1.553329
10007795,The University of Leeds,2021,"21,620","15,175",45,36840,510,53.807957,-1.553329
10007795,The University of Leeds,2022,"21,795","15,315",80,37190,350,53.807957,-1.553329
10007795,The University of Leeds,2023,"22,290","15,000",120,37410,220,53.807957,-1.553329
10007796,The University of Leicester,2015,"9,860","8,135",0,17995,,52.622086,-1.124531
10007796,The University of Leicester,2016,"8,595","7,725",0,16325,-1670,52.622086,-1.124531
10007796,The University of Leicester,2017,"8,890","7,915",0,16800,475,52.622086,-1.124531
10007796,The University of Leicester,2018,"9,180","8,145",0,17325,525,52.622086,-1.124531
10007796,The University of Leicester,2019,"9,025","7,830",0,16855,-470,52.622086,-1.124531
10007796,The University of Leicester,2020,"8,740","7,440",0,16180,-675,52.622086,-1.124531
10007796,The University of Leicester,2021,"8,520","7,580",0,16100,-80,52.622086,-1.124531
10007796,The University of Leicester,2022,"8,625","8,045",0,16670,570,52.622086,-1.124531
10007796,The University of Leicester,2023,"9,560","8,665",35,18260,1590,52.622086,-1.124531
10007151,The University of Lincoln,2015,"7,125","6,140",0,13265,,53.22871,-0.54864103
10007151,The University of Lincoln,2016,"7,270","6,200",0,13475,210,53.22871,-0.54864103
10007151,The University of Lincoln,2017,"7,665","6,435",5,14105,630,53.22871,-0.54864103
10007151,The University of Lincoln,2018,"8,180","6,790",0,14970,865,53.22871,-0.54864103
10007151,The University of Lincoln,2019,"8,660","7,210",5,15875,905,53.22871,-0.54864103
